COMMON_NAME,classification
Tufted Duck,W
European Robin,L
Eurasian Magpie,L
Common House-Martin,L
Eurasian Moorhen,W
Common Wood-Pigeon,L
Goldcrest,L
White Wagtail,L
Little Owl,R
Eurasian Blue Tit,L
Egyptian Goose,W
Gray Heron,W
Great Tit,L
Long-tailed Tit,L
Song Thrush,L
Dunnock,L
Great Crested Grebe,W
Common Swift,L
Carrion Crow,L
Graylag Goose,W
Coal Tit,L
Common Chiffchaff,L
Great Spotted Woodpecker,L
Eurasian Jay,L
Black-headed Gull,W
Common Pochard,W
Mistle Thrush,L
Clay-colored Sparrow,L
Barnacle Goose,W
Red-crowned Parrot,L
Red-crested Pochard,W
Eurasian Wren,L
Tawny Owl,R
Gray Wagtail,L
Eurasian Sparrowhawk,R
Common Tern,W
Stock Dove,L
Common Shelduck,W
Eurasian Jackdaw,L
Little Grebe,W
Mandarin Duck,W
Verdin,L
Bronzed Cowbird,L
Gambel's Quail,L
Curve-billed Thrasher,L
Phainopepla,L
Gila Woodpecker,L
Neotropic Cormorant,W
Prairie Falcon,R
Stilt Sandpiper,W
Thayer's Gull,W
Red-breasted Goose,W
Rock Pigeon,L
Brown-crested Flycatcher,L
Cactus Wren,L
Yellow-headed Blackbird,L
Cassin's Kingbird,L
White-throated Swift,L
Hermit Warbler,L
Lucy's Warbler,L
Black-tailed Gnatcatcher,L
Ross's Goose,W
Ladder-backed Woodpecker,L
Western Bluebird,L
Black-chinned Hummingbird,L
Rufous Whistler,L
Straw-necked Ibis,W
Yellow-rumped Thornbill,L
Western Gerygone,L
Laughing Dove,L
Australian Reed-Warbler,L
Musk Duck,W
Singing Honeyeater,L
White-cheeked Honeyeater,L
Little Grassbird,L
Brown Goshawk,R
Blue-billed Duck,W
Carnaby's Black-Cockatoo,L
Splendid Fairywren,L
Australian Shelduck,W
Hoary-headed Grebe,W
Yellow-billed Spoonbill,W
Red-necked Avocet,W
Australian Hobby,L
Black-tailed Native-hen,W
Australian Ringneck,L
Weebill,L
Brown Songlark,L
Australian Kite,R
Variegated Fairywren,L
Southern Boobook,R
